data,proteina_principal,preparo_principal,proteina_vegetariana
2025-02-17,BOVINA,COZIDO,VEGETAL
2025-02-18,AVE,MOLHO,VEGETAL
2025-02-19,FEIJOADA,COZIDO,FEIJOADA
2025-02-20,AVE,COZIDO,VEGETAL
2025-02-21,BOVINA,COZIDO,VEGETAL
2025-02-24,AVE,FRITO,VEGETAL
2025-02-25,SUINA,COZIDO,VEGETAL
2025-02-26,AVE,COZIDO,VEGETAL
2025-02-27,BOVINA,ASSADO,OVO
2025-02-28,AVE,COZIDO,VEGETAL
2025-03-03,BOVINA,COZIDO,VEGETAL
2025-03-04,BOVINA,COZIDO,VEGETAL
2025-03-05,BOVINA,COZIDO,VEGETAL
2025-03-06,AVE,COZIDO,VEGETAL
2025-03-07,BOVINA,MOLHO,VEGETAL
2025-03-10,SUINA,GRELHADO,VEGETAL
2025-03-11,AVE,ASSADO,VEGETAL
2025-03-12,BOVINA,COZIDO,OVO
2025-03-13,AVE,GRELHADO,VEGETAL
2025-03-14,BOVINA,FORNO,VEGETAL
2025-03-17,BOVINA,COZIDO,VEGETAL
2025-03-18,AVE,COZIDO,VEGETAL
2025-03-19,FEIJOADA,COZIDO,FEIJOADA
2025-03-20,SUINA,COZIDO,OVO
2025-03-21,PEIXE,COZIDO,VEGETAL
2025-03-24,AVE,MOLHO,VEGETAL
2025-03-25,BOVINA,COZIDO,VEGETAL
2025-03-26,AVE,COZIDO,VEGETAL
2025-03-27,BOVINA,ASSADO,VEGETAL
2025-03-28,SUINA,ASSADO,VEGETAL
2025-03-31,BOVINA,COZIDO,VEGETAL
2025-04-01,AVE,GRELHADO,OVO
2025-04-02,BOVINA,COZIDO,VEGETAL
2025-04-03,AVE,FORNO,VEGETAL
2025-04-04,BOVINA,COZIDO,VEGETAL
2025-04-07,BOVINA,COZIDO,VEGETAL
2025-04-08,BOVINA,COZIDO,VEGETAL
2025-04-09,AVE,FRITO,OVO
2025-04-10,BOVINA,MOLHO,VEGETAL
2025-04-11,AVE,ASSADO,VEGETAL
2025-04-14,AVE,COZIDO,VEGETAL
2025-04-15,BOVINA,COZIDO,VEGETAL
2025-04-16,SUINA,GRELHADO,VEGETAL
2025-04-17,PEIXE,COZIDO,OVO
2025-04-18,BOVINA,COZIDO,VEGETAL
2025-04-21,BOVINA,COZIDO,VEGETAL
2025-04-22,AVE,COZIDO,VEGETAL
2025-04-23,BOVINA,COZIDO,VEGETAL
2025-04-24,SUINA,COZIDO,VEGETAL
2025-04-25,AVE,GRELHADO,OVO
2025-04-28,BOVINA,ASSADO,VEGETAL
2025-04-29,AVE,COZIDO,VEGETAL
2025-04-30,SUINA,MOLHO,VEGETAL
2025-05-01,BOVINA,COZIDO,VEGETAL
2025-05-02,BOVINA,MOLHO,VEGETAL
2025-05-05,AVE,COZIDO,VEGETAL
2025-05-06,BOVINA,COZIDO,VEGETAL
2025-05-07,AVE,ASSADO,VEGETAL
2025-05-08,SUINA,COZIDO,OVO
2025-05-09,PEIXE,COZIDO,VEGETAL
2025-05-12,BOVINA,COZIDO,VEGETAL
2025-05-13,SUINA,COZIDO,VEGETAL
2025-05-14,AVE,COZIDO,OVO
2025-05-15,BOVINA,COZIDO,VEGETAL
2025-05-16,AVE,COZIDO,VEGETAL
2025-05-19,BOVINA,ASSADO,VEGETAL
2025-05-20,BOVINA,COZIDO,OVO
2025-05-21,SUINA,COZIDO,VEGETAL
2025-05-22,AVE,COZIDO,VEGETAL
2025-05-23,BOVINA,COZIDO,VEGETAL
2025-05-26,AVE,COZIDO,VEGETAL
2025-05-27,BOVINA,COZIDO,VEGETAL
2025-05-28,BOVINA,COZIDO,OVO
2025-05-29,AVE,MOLHO,VEGETAL
2025-05-30,SUINA,COZIDO,VEGETAL
2025-06-02,FEIJOADA,COZIDO,FEIJOADA
2025-06-03,AVE,GRELHADO,OVO
2025-06-04,SUINA,ASSADO,VEGETAL
2025-06-05,AVE,COZIDO,VEGETAL
2025-06-06,BOVINA,ASSADO,VEGETAL
2025-06-09,AVE,COZIDO,VEGETAL
2025-06-10,BOVINA,FORNO,VEGETAL
2025-06-11,AVE,COZIDO,VEGETAL
2025-06-12,BOVINA,GRELHADO,OVO
2025-06-13,BOVINA,COZIDO,VEGETAL
2025-06-16,BOVINA,COZIDO,OVO
2025-06-17,AVE,COZIDO,VEGETAL
2025-06-18,BOVINA,MOLHO,VEGETAL
2025-06-19,BOVINA,COZIDO,VEGETAL
2025-06-20,AVE,FORNO,VEGETAL
2025-06-23,PEIXE,FRITO,VEGETAL
2025-06-24,BOVINA,COZIDO,VEGETAL
2025-06-25,AVE,ASSADO,VEGETAL
2025-06-26,BOVINA,COZIDO,VEGETAL
2025-06-27,AVE,COZIDO,OVO
2025-06-30,SUINA,COZIDO,VEGETAL
2025-07-01,AVE,FRITO,VEGETAL
2025-07-02,FEIJOADA,COZIDO,FEIJOADA
2025-07-03,SUINA,COZIDO,VEGETAL
2025-07-04,BOVINA,COZIDO,VEGETAL
2025-07-07,AVE,MOLHO,VEGETAL
2025-07-08,BOVINA,COZIDO,VEGETAL
2025-07-09,BOVINA,COZIDO,VEGETAL
2025-07-28,BOVINA,COZIDO,VEGETAL
2025-07-29,BOVINA,COZIDO,VEGETAL
2025-08-04,AVE,FORNO,VEGETAL
2025-08-05,SUINA,COZIDO,OVO
2025-08-06,FEIJOADA,COZIDO,FEIJOADA
2025-08-07,AVE,COZIDO,VEGETAL
2025-08-08,BOVINA,MOLHO,VEGETAL
2025-08-11,BOVINA,ASSADO,VEGETAL
2025-08-12,AVE,COZIDO,VEGETAL
2025-08-13,BOVINA,COZIDO,VEGETAL
2025-08-14,SUINA,COZIDO,VEGETAL
2025-08-15,PEIXE,COZIDO,OVO
2025-08-18,AVE,COZIDO,VEGETAL
2025-08-19,SUINA,COZIDO,VEGETAL
2025-08-20,BOVINA,COZIDO,VEGETAL
2025-08-21,AVE,ASSADO,VEGETAL
2025-08-22,BOVINA,MOLHO,VEGETAL
2025-08-25,BOVINA,MOLHO,VEGETAL
2025-08-26,AVE,COZIDO,VEGETAL
2025-08-27,BOVINA,COZIDO,VEGETAL
2025-08-28,BOVINA,COZIDO,VEGETAL
2025-08-29,AVE,COZIDO,VEGETAL
